minute,outside,in_line,eating
7:00:00,0,0,0
7:01:00,0,0,0
7:02:00,0,0,0
7:03:00,0,0,0
7:04:00,0,0,0
7:05:00,0,0,0
7:06:00,0,0,0
7:07:00,0,0,0
7:08:00,0,0,0
7:09:00,0,0,0
7:10:00,0,0,0
7:11:00,0,0,0
7:12:00,0,0,0
7:13:00,0,0,0
7:14:00,0,0,0
7:15:00,0,0,0
7:16:00,0,0,0
7:17:00,0,0,0
7:18:00,0,0,0
7:19:00,0,0,0
7:20:00,0,0,0
7:21:00,0,0,0
7:22:00,0,0,0
7:23:00,0,0,0
7:24:00,0,0,0
7:25:00,0,0,0
7:26:00,0,0,0
7:27:00,0,0,0
7:28:00,0,0,0
7:29:00,0,0,0
7:30:00,47,0,0
7:31:00,44,0,0
7:32:00,41,0,0
7:33:00,35,0,0
7:34:00,33,0,0
7:35:00,31,0,0
7:36:00,30,0,0
7:37:00,30,0,0
7:38:00,29,0,0
7:39:00,28,0,0
7:40:00,27,0,0
7:41:00,25,0,0
7:42:00,22,0,0
7:43:00,22,0,0
7:44:00,21,0,0
7:45:00,21,0,0
7:46:00,20,0,0
7:47:00,20,0,0
7:48:00,20,0,0
7:49:00,20,0,0
7:50:00,19,0,0
7:51:00,18,0,0
7:52:00,18,0,0
7:53:00,15,0,0
7:54:00,15,0,0
7:55:00,14,0,0
7:56:00,14,0,0
7:57:00,14,0,0
7:58:00,14,0,0
7:59:00,14,0,0
8:00:00,14,0,0
8:01:00,8,0,0
8:02:00,8,0,0
8:03:00,8,0,0
8:04:00,8,0,0
8:05:00,8,0,0
8:06:00,8,0,0
8:07:00,7,0,0
8:08:00,7,0,0
8:09:00,7,0,0
8:10:00,6,0,0
8:11:00,6,0,0
8:12:00,6,0,0
8:13:00,6,0,0
8:14:00,6,0,0
8:15:00,6,0,0
8:16:00,6,0,0
8:17:00,6,0,0
8:18:00,6,0,0
8:19:00,6,0,0
8:20:00,6,0,0
8:21:00,6,0,0
8:22:00,6,0,0
8:23:00,6,0,0
8:24:00,6,0,0
8:25:00,6,0,0
8:26:00,6,0,0
8:27:00,6,0,0
8:28:00,6,0,0
8:29:00,6,0,0
8:30:00,0,0,0
8:31:00,0,0,0
8:32:00,0,0,0
8:33:00,0,0,0
8:34:00,0,0,0
8:35:00,0,0,0
8:36:00,0,0,0
8:37:00,0,0,0
8:38:00,0,0,0
8:39:00,0,0,0
8:40:00,0,0,0
8:41:00,0,0,0
8:42:00,0,0,0
8:43:00,0,0,0
8:44:00,0,0,0
8:45:00,0,0,0
8:46:00,0,0,0
8:47:00,0,0,0
8:48:00,0,0,0
8:49:00,0,0,0
8:50:00,139,0,0
8:51:00,119,0,1
8:52:00,111,0,1
8:53:00,99,1,3
8:54:00,89,0,5
8:55:00,79,2,7
8:56:00,71,4,9
8:57:00,62,4,12
8:58:00,57,7,13
8:59:00,53,4,16
9:00:00,47,4,17
9:01:00,45,3,19
9:02:00,43,1,21
9:03:00,39,0,24
9:04:00,38,0,25
9:05:00,35,0,26
9:06:00,35,0,26
9:07:00,34,0,26
9:08:00,32,0,26
9:09:00,31,0,26
9:10:00,31,0,26
9:11:00,31,0,26
9:12:00,30,0,26
9:13:00,28,0,26
9:14:00,28,0,26
9:15:00,28,0,26
9:16:00,28,0,26
9:17:00,28,0,24
9:18:00,28,0,24
9:19:00,26,0,26
9:20:00,39,0,29
9:21:00,35,0,29
9:22:00,33,0,30
9:23:00,33,0,29
9:24:00,30,0,31
9:25:00,697,15,34
9:26:00,615,38,35
9:27:00,547,51,38
9:28:00,468,77,40
9:29:00,396,103,42
9:30:00,363,117,42
9:31:00,322,124,45
9:32:00,292,140,44
9:33:00,267,149,46
9:34:00,257,151,48
9:35:00,242,157,50
9:36:00,225,159,51
9:37:00,205,166,51
9:38:00,188,167,52
9:39:00,177,168,53
9:40:00,170,167,56
9:41:00,166,166,56
9:42:00,165,163,59
9:43:00,162,163,61
9:44:00,158,163,63
9:45:00,154,164,63
9:46:00,149,166,61
