minute,outside,in_line,eating
7:00:00,0,0,0
7:01:00,0,0,0
7:02:00,0,0,0
7:03:00,0,0,0
7:04:00,0,0,0
7:05:00,0,0,0
7:06:00,0,0,0
7:07:00,0,0,0
7:08:00,0,0,0
7:09:00,0,0,0
7:10:00,0,0,0
7:11:00,0,0,0
7:12:00,0,0,0
7:13:00,0,0,0
7:14:00,0,0,0
7:15:00,0,0,0
7:16:00,0,0,0
7:17:00,0,0,0
7:18:00,0,0,0
7:19:00,0,0,0
7:20:00,0,0,0
7:21:00,0,0,0
7:22:00,0,0,0
7:23:00,0,0,0
7:24:00,0,0,0
7:25:00,0,0,0
7:26:00,0,0,0
7:27:00,0,0,0
7:28:00,0,0,0
7:29:00,0,0,0
7:30:00,47,0,0
7:31:00,42,0,1
7:32:00,40,0,1
7:33:00,36,0,3
7:34:00,31,0,4
7:35:00,29,0,6
7:36:00,26,0,6
7:37:00,25,0,7
7:38:00,21,0,9
7:39:00,20,0,10
7:40:00,19,0,10
7:41:00,16,0,11
7:42:00,14,0,11
7:43:00,14,0,11
7:44:00,14,0,11
7:45:00,13,0,11
7:46:00,11,0,11
7:47:00,11,0,11
7:48:00,11,0,11
7:49:00,11,0,11
7:50:00,11,0,11
7:51:00,11,0,11
7:52:00,11,0,11
7:53:00,10,0,12
7:54:00,10,0,11
7:55:00,10,0,11
7:56:00,9,0,11
7:57:00,9,0,11
7:58:00,9,0,11
7:59:00,9,0,11
8:00:00,9,0,11
8:01:00,7,0,11
8:02:00,7,0,11
8:03:00,7,0,11
8:04:00,7,0,11
8:05:00,7,0,11
8:06:00,7,0,11
8:07:00,7,0,11
8:08:00,7,0,11
8:09:00,7,0,11
8:10:00,7,0,10
8:11:00,6,0,10
8:12:00,6,0,10
8:13:00,6,0,10
8:14:00,6,0,10
8:15:00,6,0,9
8:16:00,6,0,9
8:17:00,5,0,9
8:18:00,5,0,9
8:19:00,5,0,9
8:20:00,5,0,9
8:21:00,5,0,9
8:22:00,5,0,9
8:23:00,5,0,9
8:24:00,5,0,8
8:25:00,5,0,8
8:26:00,5,0,8
8:27:00,5,0,8
8:28:00,5,0,8
8:29:00,5,0,8
8:30:00,0,0,7
8:31:00,0,0,7
8:32:00,0,0,7
8:33:00,0,0,7
8:34:00,0,0,7
8:35:00,0,0,7
8:36:00,0,0,7
8:37:00,0,0,6
8:38:00,0,0,6
8:39:00,0,0,6
8:40:00,0,0,6
8:41:00,0,0,6
8:42:00,0,0,6
8:43:00,0,0,5
8:44:00,0,0,5
8:45:00,0,0,5
8:46:00,0,0,5
8:47:00,0,0,5
8:48:00,0,0,5
8:49:00,0,0,5
8:50:00,144,22,6
8:51:00,128,21,8
8:52:00,118,20,10
8:53:00,113,18,13
8:54:00,94,18,15
8:55:00,84,17,16
8:56:00,78,15,18
8:57:00,70,15,20
8:58:00,60,14,22
8:59:00,57,12,23
9:00:00,53,11,24
9:01:00,46,9,26
9:02:00,43,9,27
9:03:00,38,7,30
9:04:00,36,4,33
9:05:00,35,3,33
9:06:00,35,1,34
9:07:00,34,0,35
9:08:00,33,0,34
9:09:00,32,0,34
9:10:00,32,0,34
9:11:00,32,0,34
9:12:00,32,0,34
9:13:00,26,2,36
9:14:00,26,0,38
9:15:00,25,0,38
9:16:00,25,0,38
9:17:00,25,0,38
9:18:00,25,0,38
9:19:00,24,0,38
9:20:00,40,0,38
9:21:00,37,0,38
9:22:00,35,0,37
9:23:00,34,0,37
9:24:00,29,0,36
9:25:00,701,43,38
9:26:00,607,46,41
9:27:00,539,61,42
9:28:00,476,83,42
9:29:00,408,96,42
9:30:00,368,103,44
9:31:00,325,110,46
9:32:00,300,117,47
9:33:00,275,119,49
9:34:00,255,119,51
9:35:00,243,122,53
9:36:00,224,124,55
9:37:00,209,126,55
9:38:00,195,128,57
9:39:00,182,127,57
9:40:00,173,128,57
9:41:00,170,127,59
9:42:00,168,126,60
9:43:00,165,125,62
9:44:00,160,125,62
9:45:00,156,123,65
9:46:00,151,123,65
