minute,outside,in_line,eating
7:00:00,0,0,0
7:01:00,0,0,0
7:02:00,0,0,0
7:03:00,0,0,0
7:04:00,0,0,0
7:05:00,0,0,0
7:06:00,0,0,0
7:07:00,0,0,0
7:08:00,0,0,0
7:09:00,0,0,0
7:10:00,0,0,0
7:11:00,0,0,0
7:12:00,0,0,0
7:13:00,0,0,0
7:14:00,0,0,0
7:15:00,0,0,0
7:16:00,0,0,0
7:17:00,0,0,0
7:18:00,0,0,0
7:19:00,0,0,0
7:20:00,0,0,0
7:21:00,0,0,0
7:22:00,0,0,0
7:23:00,0,0,0
7:24:00,0,0,0
7:25:00,0,0,0
7:26:00,0,0,0
7:27:00,0,0,0
7:28:00,0,0,0
7:29:00,0,0,0
7:30:00,46,0,1
7:31:00,42,0,1
7:32:00,34,0,1
7:33:00,31,0,1
7:34:00,27,0,1
7:35:00,26,0,1
7:36:00,23,0,1
7:37:00,21,0,1
7:38:00,19,0,1
7:39:00,18,0,1
7:40:00,16,0,1
7:41:00,14,0,1
7:42:00,12,0,1
7:43:00,12,0,1
7:44:00,12,0,1
7:45:00,12,0,1
7:46:00,10,0,1
7:47:00,10,0,1
7:48:00,10,0,1
7:49:00,10,0,1
7:50:00,9,0,1
7:51:00,8,0,1
7:52:00,8,0,1
7:53:00,8,0,1
7:54:00,8,0,1
7:55:00,8,0,1
7:56:00,8,0,1
7:57:00,8,0,1
7:58:00,8,0,1
7:59:00,8,0,1
8:00:00,8,0,1
8:01:00,4,0,1
8:02:00,4,0,1
8:03:00,4,0,1
8:04:00,4,0,1
8:05:00,4,0,1
8:06:00,4,0,1
8:07:00,4,0,1
8:08:00,4,0,1
8:09:00,4,0,1
8:10:00,4,0,1
8:11:00,4,0,1
8:12:00,4,0,1
8:13:00,4,0,1
8:14:00,4,0,1
8:15:00,4,0,1
8:16:00,4,0,1
8:17:00,4,0,1
8:18:00,4,0,1
8:19:00,4,0,1
8:20:00,4,0,1
8:21:00,4,0,1
8:22:00,4,0,1
8:23:00,4,0,1
8:24:00,4,0,1
8:25:00,4,0,1
8:26:00,4,0,1
8:27:00,4,0,1
8:28:00,4,0,1
8:29:00,4,0,1
8:30:00,0,0,1
8:31:00,0,0,1
8:32:00,0,0,1
8:33:00,0,0,1
8:34:00,0,0,0
8:35:00,0,0,0
8:36:00,0,0,0
8:37:00,0,0,0
8:38:00,0,0,0
8:39:00,0,0,0
8:40:00,0,0,0
8:41:00,0,0,0
8:42:00,0,0,0
8:43:00,0,0,0
8:44:00,0,0,0
8:45:00,0,0,0
8:46:00,0,0,0
8:47:00,0,0,0
8:48:00,0,0,0
8:49:00,0,0,0
8:50:00,133,1,3
8:51:00,118,0,4
8:52:00,110,0,4
8:53:00,98,0,4
8:54:00,85,0,4
8:55:00,78,0,4
8:56:00,71,0,4
8:57:00,63,0,4
8:58:00,61,0,4
8:59:00,58,0,4
9:00:00,56,0,4
9:01:00,51,0,4
9:02:00,49,0,4
9:03:00,49,0,4
9:04:00,44,0,4
9:05:00,43,0,4
9:06:00,43,0,4
9:07:00,41,0,4
9:08:00,40,0,4
9:09:00,37,0,4
9:10:00,37,0,4
9:11:00,37,0,4
9:12:00,37,0,4
9:13:00,34,0,4
9:14:00,33,0,4
9:15:00,32,0,4
9:16:00,31,0,4
9:17:00,31,0,4
9:18:00,31,0,4
9:19:00,29,0,4
9:20:00,44,0,4
9:21:00,42,0,4
9:22:00,39,0,4
9:23:00,37,0,4
9:24:00,37,0,4
9:25:00,715,0,7
9:26:00,616,3,10
9:27:00,547,5,11
9:28:00,479,9,14
9:29:00,410,10,16
9:30:00,358,9,17
9:31:00,315,6,20
9:32:00,285,7,20
9:33:00,261,4,23
9:34:00,247,3,24
9:35:00,230,1,25
9:36:00,216,0,26
9:37:00,202,2,29
9:38:00,191,0,31
9:39:00,182,0,30
9:40:00,174,0,32
9:41:00,166,0,32
9:42:00,160,0,32
9:43:00,157,0,32
9:44:00,152,0,33
9:45:00,151,0,33
9:46:00,143,0,33
