minute,outside,Hoch-Shanahan,Malott,Collins,McConnell,Frary,Frank
7:00:00,0,0,0,0,0,0,0
7:01:00,0,0,0,0,0,0,0
7:02:00,0,0,0,0,0,0,0
7:03:00,0,0,0,0,0,0,0
7:04:00,0,0,0,0,0,0,0
7:05:00,0,0,0,0,0,0,0
7:06:00,0,0,0,0,0,0,0
7:07:00,0,0,0,0,0,0,0
7:08:00,0,0,0,0,0,0,0
7:09:00,0,0,0,0,0,0,0
7:10:00,0,0,0,0,0,0,0
7:11:00,0,0,0,0,0,0,0
7:12:00,0,0,0,0,0,0,0
7:13:00,0,0,0,0,0,0,0
7:14:00,0,0,0,0,0,0,0
7:15:00,0,0,0,0,0,0,0
7:16:00,0,0,0,0,0,0,0
7:17:00,0,0,0,0,0,0,0
7:18:00,0,0,0,0,0,0,0
7:19:00,0,0,0,0,0,0,0
7:20:00,0,0,0,0,0,0,0
7:21:00,0,0,0,0,0,0,0
7:22:00,0,0,0,0,0,0,0
7:23:00,0,0,0,0,0,0,0
7:24:00,0,0,0,0,0,0,0
7:25:00,0,0,0,0,0,0,0
7:26:00,0,0,0,0,0,0,0
7:27:00,0,0,0,0,0,0,0
7:28:00,0,0,0,0,0,0,0
7:29:00,0,0,0,0,0,0,0
7:30:00,45,0,0,0,2,0,0
7:31:00,40,0,1,3,3,0,0
7:32:00,33,1,1,5,3,0,0
7:33:00,30,1,2,8,3,0,0
7:34:00,25,1,4,9,3,0,1
7:35:00,23,1,6,12,3,0,2
7:36:00,22,1,6,12,3,0,3
7:37:00,22,1,6,12,3,0,3
7:38:00,21,2,6,12,3,0,3
7:39:00,20,2,7,12,3,0,3
7:40:00,18,3,7,12,3,0,4
7:41:00,14,3,7,14,3,0,5
7:42:00,11,3,8,16,3,0,6
7:43:00,10,3,8,16,3,0,7
7:44:00,10,3,8,16,3,0,7
7:45:00,10,3,8,16,3,0,7
7:46:00,10,3,8,16,3,0,7
7:47:00,9,3,7,16,3,0,8
7:48:00,8,3,7,16,3,0,9
7:49:00,7,4,7,16,3,0,9
7:50:00,6,4,7,16,3,0,10
7:51:00,5,4,8,16,3,0,10
7:52:00,5,4,8,16,3,0,10
7:53:00,5,4,8,15,3,0,10
7:54:00,5,4,8,14,3,0,10
7:55:00,5,4,8,14,3,0,10
7:56:00,4,4,8,14,3,0,10
7:57:00,4,4,8,14,3,0,10
7:58:00,4,4,8,14,3,0,10
7:59:00,4,4,8,14,3,0,10
8:00:00,4,4,8,14,3,0,10
8:01:00,3,5,8,14,3,0,10
8:02:00,3,5,8,14,3,0,10
8:03:00,3,5,8,14,3,0,10
8:04:00,3,5,8,14,3,0,10
8:05:00,3,5,8,14,3,0,10
8:06:00,3,5,8,14,3,0,10
8:07:00,3,5,8,14,3,0,10
8:08:00,3,5,8,14,3,0,10
8:09:00,3,5,8,14,3,0,10
8:10:00,3,5,8,14,3,0,10
8:11:00,3,5,8,14,3,0,10
8:12:00,3,5,8,14,3,0,10
8:13:00,3,5,7,14,3,0,10
8:14:00,3,5,6,14,3,0,10
8:15:00,3,5,6,13,3,0,10
8:16:00,3,5,6,13,3,0,10
8:17:00,3,5,6,13,3,0,10
8:18:00,3,5,6,13,3,0,10
8:19:00,3,5,6,13,3,0,10
8:20:00,3,5,6,12,3,0,10
8:21:00,3,5,5,12,3,0,10
8:22:00,3,5,5,12,3,0,10
8:23:00,3,5,4,12,3,0,10
8:24:00,3,5,4,12,3,0,10
8:25:00,3,5,4,12,2,0,10
8:26:00,3,5,4,11,2,0,10
8:27:00,3,5,4,11,2,0,10
8:28:00,3,5,4,11,1,0,10
8:29:00,3,5,4,10,1,0,9
8:30:00,0,5,4,10,1,0,11
8:31:00,0,5,4,10,1,0,12
8:32:00,0,5,4,10,1,0,12
8:33:00,0,4,4,10,1,0,12
8:34:00,0,3,4,10,1,0,12
8:35:00,0,3,4,10,1,0,12
8:36:00,0,3,4,10,1,0,12
8:37:00,0,3,4,10,1,0,12
8:38:00,0,3,4,9,1,0,11
8:39:00,0,3,4,9,1,0,11
8:40:00,0,3,4,9,1,0,10
8:41:00,0,2,4,9,1,0,10
8:42:00,0,2,4,8,1,0,10
8:43:00,0,2,4,8,1,0,10
8:44:00,0,2,4,7,1,0,10
8:45:00,0,2,4,7,1,0,10
8:46:00,0,2,4,7,1,0,10
8:47:00,0,2,4,6,1,0,10
8:48:00,0,2,4,5,1,0,9
8:49:00,0,2,4,4,1,0,8
8:50:00,147,5,5,5,3,0,8
8:51:00,133,7,7,7,3,0,8
8:52:00,122,8,10,8,3,0,8
8:53:00,108,10,10,12,3,2,9
8:54:00,99,13,12,13,3,4,10
8:55:00,89,15,14,14,3,7,10
8:56:00,78,17,15,16,3,8,11
8:57:00,70,19,16,18,3,11,14
8:58:00,64,20,18,18,3,13,16
8:59:00,60,22,20,19,3,14,16
9:00:00,60,23,20,19,3,17,16
9:01:00,56,24,22,20,2,19,16
9:02:00,49,25,24,22,2,21,15
9:03:00,47,28,27,25,2,22,16
9:04:00,45,30,29,25,2,25,16
9:05:00,41,32,31,23,2,27,18
9:06:00,40,34,31,23,2,28,18
9:07:00,40,37,31,23,2,28,18
9:08:00,40,39,31,23,2,28,18
