minute,outside,Hoch-Shanahan,Malott,Collins,McConnell,Frary,Frank
7:00:00,0,0,0,0,0,0,0
7:01:00,0,0,0,0,0,0,0
7:02:00,0,0,0,0,0,0,0
7:03:00,0,0,0,0,0,0,0
7:04:00,0,0,0,0,0,0,0
7:05:00,0,0,0,0,0,0,0
7:06:00,0,0,0,0,0,0,0
7:07:00,0,0,0,0,0,0,0
7:08:00,0,0,0,0,0,0,0
7:09:00,0,0,0,0,0,0,0
7:10:00,0,0,0,0,0,0,0
7:11:00,0,0,0,0,0,0,0
7:12:00,0,0,0,0,0,0,0
7:13:00,0,0,0,0,0,0,0
7:14:00,0,0,0,0,0,0,0
7:15:00,0,0,0,0,0,0,0
7:16:00,0,0,0,0,0,0,0
7:17:00,0,0,0,0,0,0,0
7:18:00,0,0,0,0,0,0,0
7:19:00,0,0,0,0,0,0,0
7:20:00,0,0,0,0,0,0,0
7:21:00,0,0,0,0,0,0,0
7:22:00,0,0,0,0,0,0,0
7:23:00,0,0,0,0,0,0,0
7:24:00,0,0,0,0,0,0,0
7:25:00,0,0,0,0,0,0,0
7:26:00,0,0,0,0,0,0,0
7:27:00,0,0,0,0,0,0,0
7:28:00,0,0,0,0,0,0,0
7:29:00,0,0,0,0,0,0,0
7:30:00,47,0,0,0,1,0,0
7:31:00,40,0,0,3,1,0,0
7:32:00,39,0,0,4,1,0,0
7:33:00,37,0,2,6,1,0,0
7:34:00,32,0,3,8,1,0,2
7:35:00,27,2,3,9,1,0,5
7:36:00,24,2,4,9,1,0,7
7:37:00,23,2,5,9,1,0,7
7:38:00,22,2,5,9,1,0,7
7:39:00,18,3,5,9,1,0,9
7:40:00,18,3,5,9,1,0,9
7:41:00,17,3,5,10,1,0,9
7:42:00,14,3,5,13,1,0,9
7:43:00,13,3,5,13,1,0,10
7:44:00,12,3,5,13,1,0,11
7:45:00,12,3,5,13,1,0,11
7:46:00,11,3,5,13,1,0,12
7:47:00,11,3,5,13,1,0,12
7:48:00,11,3,5,13,1,0,12
7:49:00,11,3,5,13,1,0,12
7:50:00,11,3,5,13,1,0,12
7:51:00,11,3,5,13,1,0,11
7:52:00,11,3,5,13,1,0,10
7:53:00,8,3,7,13,1,0,10
7:54:00,8,3,8,13,1,0,10
7:55:00,8,3,8,13,1,0,10
7:56:00,8,3,8,12,1,0,10
7:57:00,8,3,8,12,1,0,10
7:58:00,8,2,8,12,1,0,9
7:59:00,8,2,8,12,1,0,9
8:00:00,8,2,7,12,1,0,9
8:01:00,4,5,7,12,1,0,9
8:02:00,4,6,7,12,1,0,9
8:03:00,4,6,7,12,1,0,9
8:04:00,4,6,7,12,1,0,9
8:05:00,4,6,7,12,1,0,9
8:06:00,4,6,7,12,1,0,9
8:07:00,4,6,7,11,1,0,9
8:08:00,4,6,7,9,1,0,8
8:09:00,4,6,7,9,1,0,7
8:10:00,4,6,7,9,1,0,7
8:11:00,4,6,7,8,1,0,7
8:12:00,4,6,6,8,1,0,7
8:13:00,4,6,6,8,1,0,7
8:14:00,4,6,6,8,1,0,7
8:15:00,4,6,6,8,1,0,7
8:16:00,4,6,6,8,1,0,7
8:17:00,4,6,6,8,1,0,7
8:18:00,4,6,6,7,1,0,6
8:19:00,4,6,6,7,1,0,6
8:20:00,4,6,6,7,1,0,6
8:21:00,3,6,5,7,1,0,7
8:22:00,3,6,5,7,1,0,7
8:23:00,3,6,5,7,1,0,7
8:24:00,3,6,5,7,1,0,6
8:25:00,3,6,5,6,1,0,6
8:26:00,3,6,5,6,1,0,6
8:27:00,3,6,5,6,1,0,6
8:28:00,3,6,5,5,1,0,6
8:29:00,3,6,5,5,1,0,6
8:30:00,0,6,5,5,1,0,8
8:31:00,0,6,5,5,1,0,9
8:32:00,0,6,5,5,1,0,8
8:33:00,0,6,5,5,1,0,8
8:34:00,0,6,5,5,1,0,8
8:35:00,0,6,5,5,1,0,8
8:36:00,0,5,5,5,1,0,8
8:37:00,0,5,5,5,1,0,8
8:38:00,0,5,5,5,1,0,8
8:39:00,0,5,5,5,1,0,8
8:40:00,0,5,4,5,1,0,8
8:41:00,0,5,4,5,1,0,8
8:42:00,0,5,4,5,1,0,8
8:43:00,0,5,4,5,1,0,8
8:44:00,0,5,4,5,1,0,8
8:45:00,0,4,4,4,1,0,8
8:46:00,0,4,4,4,1,0,8
8:47:00,0,4,4,4,1,0,8
8:48:00,0,4,4,4,1,0,8
8:49:00,0,4,4,4,1,0,8
8:50:00,140,7,6,7,4,0,8
8:51:00,126,8,8,8,4,0,8
8:52:00,115,10,10,11,4,2,8
8:53:00,104,13,12,13,5,3,10
8:54:00,93,15,15,13,5,3,10
8:55:00,82,17,17,16,5,5,11
8:56:00,75,19,19,18,5,7,12
8:57:00,68,22,21,17,5,9,12
8:58:00,64,22,22,17,6,10,13
8:59:00,57,23,25,18,6,12,14
9:00:00,54,25,27,18,6,15,16
9:01:00,50,27,27,21,6,16,16
9:02:00,49,30,29,22,6,17,16
9:03:00,47,31,32,22,6,17,16
9:04:00,44,32,33,22,6,18,18
9:05:00,42,35,32,22,6,18,18
9:06:00,41,36,35,22,6,18,18
9:07:00,41,38,37,21,5,18,18
9:08:00,41,41,39,21,5,18,17
