minute,outside,Hoch-Shanahan,Malott,Collins,McConnell,Frary,Frank
7:00:00,0,0,0,0,0,0,0
7:01:00,0,0,0,0,0,0,0
7:02:00,0,0,0,0,0,0,0
7:03:00,0,0,0,0,0,0,0
7:04:00,0,0,0,0,0,0,0
7:05:00,0,0,0,0,0,0,0
7:06:00,0,0,0,0,0,0,0
7:07:00,0,0,0,0,0,0,0
7:08:00,0,0,0,0,0,0,0
7:09:00,0,0,0,0,0,0,0
7:10:00,0,0,0,0,0,0,0
7:11:00,0,0,0,0,0,0,0
7:12:00,0,0,0,0,0,0,0
7:13:00,0,0,0,0,0,0,0
7:14:00,0,0,0,0,0,0,0
7:15:00,0,0,0,0,0,0,0
7:16:00,0,0,0,0,0,0,0
7:17:00,0,0,0,0,0,0,0
7:18:00,0,0,0,0,0,0,0
7:19:00,0,0,0,0,0,0,0
7:20:00,0,0,0,0,0,0,0
7:21:00,0,0,0,0,0,0,0
7:22:00,0,0,0,0,0,0,0
7:23:00,0,0,0,0,0,0,0
7:24:00,0,0,0,0,0,0,0
7:25:00,0,0,0,0,0,0,0
7:26:00,0,0,0,0,0,0,0
7:27:00,0,0,0,0,0,0,0
7:28:00,0,0,0,0,0,0,0
7:29:00,0,0,0,0,0,0,0
7:30:00,47,0,0,0,1,0,0
7:31:00,44,0,1,2,1,0,0
7:32:00,41,0,3,3,1,0,0
7:33:00,35,3,4,3,1,0,0
7:34:00,33,4,4,3,1,0,1
7:35:00,31,6,4,3,1,0,2
7:36:00,30,6,4,3,1,0,3
7:37:00,30,6,4,3,1,0,3
7:38:00,29,6,4,4,1,0,3
7:39:00,28,6,4,5,1,0,3
7:40:00,27,6,4,5,1,0,4
7:41:00,25,6,4,6,1,0,5
7:42:00,22,6,4,8,1,0,5
7:43:00,22,6,4,8,1,0,5
7:44:00,21,6,4,8,1,0,6
7:45:00,21,6,4,8,1,0,6
7:46:00,20,6,4,8,1,0,7
7:47:00,20,6,4,8,1,0,7
7:48:00,20,6,4,8,1,0,7
7:49:00,20,6,4,8,1,0,7
7:50:00,19,6,4,7,1,0,8
7:51:00,18,6,4,7,1,0,9
7:52:00,18,6,4,7,1,0,9
7:53:00,15,6,7,7,1,0,9
7:54:00,15,6,7,7,1,0,9
7:55:00,14,6,7,7,1,0,10
7:56:00,14,6,7,7,1,0,10
7:57:00,14,6,7,7,1,0,10
7:58:00,14,6,7,7,1,0,10
7:59:00,14,6,7,7,1,0,10
8:00:00,14,6,7,7,1,0,10
8:01:00,8,7,7,7,1,0,9
8:02:00,8,9,7,7,1,0,9
8:03:00,8,10,7,7,1,0,9
8:04:00,8,10,7,6,1,0,9
8:05:00,8,10,7,6,1,0,9
8:06:00,8,10,7,6,1,0,9
8:07:00,7,9,7,6,1,0,10
8:08:00,7,9,7,6,1,0,10
8:09:00,7,9,7,6,1,0,10
8:10:00,6,9,7,6,1,0,11
8:11:00,6,9,7,6,1,0,11
8:12:00,6,9,6,6,1,0,11
8:13:00,6,9,6,6,1,0,10
8:14:00,6,9,6,6,1,0,10
8:15:00,6,9,6,6,1,0,10
8:16:00,6,9,6,6,1,0,10
8:17:00,6,9,6,6,1,0,10
8:18:00,6,9,6,6,1,0,10
8:19:00,6,9,6,6,1,0,10
8:20:00,6,9,6,6,1,0,10
8:21:00,6,9,6,6,1,0,10
8:22:00,6,8,6,6,1,0,10
8:23:00,6,8,6,6,1,0,10
8:24:00,6,8,6,6,0,0,9
8:25:00,6,7,6,6,0,0,9
8:26:00,6,7,6,6,0,0,9
8:27:00,6,7,6,6,0,0,8
8:28:00,6,7,6,6,0,0,7
8:29:00,6,7,6,6,0,0,7
8:30:00,0,7,6,5,0,0,10
8:31:00,0,7,6,5,0,0,11
8:32:00,0,7,6,5,0,0,12
8:33:00,0,7,5,5,0,0,11
8:34:00,0,7,5,5,0,0,11
8:35:00,0,7,5,5,0,0,11
8:36:00,0,7,5,5,0,0,11
8:37:00,0,7,5,5,0,0,10
8:38:00,0,7,5,5,0,0,10
8:39:00,0,7,5,5,0,0,10
8:40:00,0,7,5,5,0,0,10
8:41:00,0,7,5,5,0,0,10
8:42:00,0,7,5,5,0,0,10
8:43:00,0,7,5,5,0,0,10
8:44:00,0,7,5,5,0,0,10
8:45:00,0,6,5,5,0,0,10
8:46:00,0,6,5,4,0,0,9
8:47:00,0,6,5,4,0,0,9
8:48:00,0,6,5,3,0,0,9
8:49:00,0,5,5,3,0,0,9
8:50:00,139,7,8,5,1,0,9
8:51:00,119,10,10,8,1,1,10
8:52:00,111,12,11,10,2,1,10
8:53:00,99,14,14,11,2,3,10
8:54:00,89,16,15,13,2,5,12
8:55:00,79,16,16,17,2,7,14
8:56:00,71,18,17,18,2,9,16
8:57:00,62,18,19,19,2,12,18
8:58:00,57,20,19,20,2,13,18
8:59:00,53,22,21,23,2,16,18
9:00:00,47,24,23,24,2,17,19
9:01:00,45,28,26,24,2,19,20
9:02:00,43,29,27,25,2,21,21
9:03:00,39,31,29,25,2,24,20
9:04:00,38,34,32,25,2,25,20
9:05:00,35,35,33,25,2,26,21
9:06:00,35,37,35,25,2,26,21
9:07:00,34,36,36,25,2,26,21
9:08:00,32,39,38,25,1,26,22
