minute,outside,Hoch-Shanahan,Malott,Collins,McConnell,Frary,Frank
7:00:00,0,0,0,0,0,0,0
7:01:00,0,0,0,0,0,0,0
7:02:00,0,0,0,0,0,0,0
7:03:00,0,0,0,0,0,0,0
7:04:00,0,0,0,0,0,0,0
7:05:00,0,0,0,0,0,0,0
7:06:00,0,0,0,0,0,0,0
7:07:00,0,0,0,0,0,0,0
7:08:00,0,0,0,0,0,0,0
7:09:00,0,0,0,0,0,0,0
7:10:00,0,0,0,0,0,0,0
7:11:00,0,0,0,0,0,0,0
7:12:00,0,0,0,0,0,0,0
7:13:00,0,0,0,0,0,0,0
7:14:00,0,0,0,0,0,0,0
7:15:00,0,0,0,0,0,0,0
7:16:00,0,0,0,0,0,0,0
7:17:00,0,0,0,0,0,0,0
7:18:00,0,0,0,0,0,0,0
7:19:00,0,0,0,0,0,0,0
7:20:00,0,0,0,0,0,0,0
7:21:00,0,0,0,0,0,0,0
7:22:00,0,0,0,0,0,0,0
7:23:00,0,0,0,0,0,0,0
7:24:00,0,0,0,0,0,0,0
7:25:00,0,0,0,0,0,0,0
7:26:00,0,0,0,0,0,0,0
7:27:00,0,0,0,0,0,0,0
7:28:00,0,0,0,0,0,0,0
7:29:00,0,0,0,0,0,0,0
7:30:00,46,0,0,1,1,0,0
7:31:00,42,0,0,3,1,0,0
7:32:00,34,2,1,6,1,0,0
7:33:00,31,2,2,7,1,0,0
7:34:00,27,3,4,9,1,0,1
7:35:00,26,3,5,11,1,0,1
7:36:00,23,4,5,12,1,0,2
7:37:00,21,5,5,13,1,0,2
7:38:00,19,5,5,13,1,0,4
7:39:00,18,5,5,13,1,0,5
7:40:00,16,6,5,13,1,0,6
7:41:00,14,6,5,14,1,0,7
7:42:00,12,6,5,16,1,0,7
7:43:00,12,6,5,16,1,0,7
7:44:00,12,6,5,15,1,0,7
7:45:00,12,6,5,15,1,0,7
7:46:00,10,6,5,15,1,0,9
7:47:00,10,6,5,15,1,0,9
7:48:00,10,6,5,15,1,0,9
7:49:00,10,6,5,15,1,0,9
7:50:00,9,6,6,15,1,0,9
7:51:00,8,7,6,15,1,0,9
7:52:00,8,7,6,15,1,0,9
7:53:00,8,7,5,15,1,0,9
7:54:00,8,7,5,15,1,0,9
7:55:00,8,7,5,15,1,0,9
7:56:00,8,7,5,15,1,0,9
7:57:00,8,7,3,15,1,0,9
7:58:00,8,7,3,15,1,0,9
7:59:00,8,7,3,13,1,0,9
8:00:00,8,7,3,12,1,0,9
8:01:00,4,10,3,12,1,0,9
8:02:00,4,10,3,11,1,0,9
8:03:00,4,10,3,11,1,0,9
8:04:00,4,10,3,11,1,0,9
8:05:00,4,10,3,11,1,0,9
8:06:00,4,10,3,11,1,0,9
8:07:00,4,10,3,11,1,0,9
8:08:00,4,10,3,11,1,0,9
8:09:00,4,10,3,11,1,0,9
8:10:00,4,10,3,11,1,0,9
8:11:00,4,10,3,11,1,0,9
8:12:00,4,10,3,11,1,0,9
8:13:00,4,10,3,11,1,0,9
8:14:00,4,9,3,11,1,0,9
8:15:00,4,9,3,11,1,0,9
8:16:00,4,9,3,11,1,0,9
8:17:00,4,9,3,10,1,0,9
8:18:00,4,9,3,10,1,0,9
8:19:00,4,9,3,10,1,0,8
8:20:00,4,9,3,10,1,0,8
8:21:00,4,9,3,10,1,0,8
8:22:00,4,9,3,10,1,0,8
8:23:00,4,9,3,10,1,0,8
8:24:00,4,9,3,10,1,0,8
8:25:00,4,9,3,10,1,0,8
8:26:00,4,9,3,10,1,0,8
8:27:00,4,8,3,10,1,0,8
8:28:00,4,8,3,9,1,0,8
8:29:00,4,8,3,8,1,0,8
8:30:00,0,8,3,8,1,0,11
8:31:00,0,8,3,8,1,0,12
8:32:00,0,8,3,8,1,0,12
8:33:00,0,8,3,7,1,0,12
8:34:00,0,7,3,7,0,0,12
8:35:00,0,6,3,7,0,0,12
8:36:00,0,6,3,7,0,0,12
8:37:00,0,6,2,7,0,0,12
8:38:00,0,6,2,7,0,0,12
8:39:00,0,5,2,7,0,0,12
8:40:00,0,5,1,7,0,0,12
8:41:00,0,4,1,7,0,0,12
8:42:00,0,3,1,7,0,0,12
8:43:00,0,3,1,7,0,0,11
8:44:00,0,3,1,7,0,0,11
8:45:00,0,3,1,7,0,0,11
8:46:00,0,3,1,7,0,0,11
8:47:00,0,3,1,7,0,0,11
8:48:00,0,3,1,7,0,0,11
8:49:00,0,3,1,7,0,0,11
8:50:00,133,6,3,9,3,0,11
8:51:00,118,6,6,12,4,1,11
8:52:00,110,8,8,14,4,3,11
8:53:00,98,11,8,16,4,6,11
8:54:00,85,13,10,17,4,7,13
8:55:00,78,14,12,19,4,7,15
8:56:00,71,16,14,21,4,10,15
8:57:00,63,19,15,22,4,12,18
8:58:00,61,20,16,22,4,14,18
8:59:00,58,23,18,21,4,15,19
9:00:00,56,24,20,19,4,15,18
9:01:00,51,25,22,20,4,15,20
9:02:00,49,25,24,22,4,15,20
9:03:00,49,28,26,22,4,15,20
9:04:00,44,30,28,22,4,16,22
9:05:00,43,33,30,22,4,16,21
9:06:00,43,34,31,22,4,16,20
9:07:00,41,36,34,22,4,17,20
9:08:00,40,38,36,22,4,17,21
